receptor,gauss_1,gauss_2,repulsion,hydrophobic,hydrogen_bonding,tors,exp_binding_affinity
1df8,86.8543,1158.06,3.20497,33.5465,4.66174,2,9.7
1dfo,118.888,1703.05,4.77912,48.6332,6.22074,3.1,6.7
1dgm,51.4808,952.08,3.66571,0,2.23189,1.8,5.05
1dhi,84.8786,1408.1,2.7449,31.6161,4.51781,3,7.26
1dhj,93.8678,1434.52,3.1711,35.2172,5.15045,2.9,6.55
1dif,176.51,2715.5,4.47212,97.9992,6.20197,5,10.66
1dl7,88.8569,916.605,5.62961,12.6012,0.720282,2.4,6.49
1dmp,125.134,2153.02,3.71681,89.6772,5.37281,3,9.55
1dqn,103.197,1114.77,6.89493,2.52299,11.9117,2,8
1drj,74.1131,739.264,5.40688,0,9.80317,1.4,7.4
1drk,78.6909,742.26,6.12266,0,9.94068,1.4,6.82
1drv,144.964,2097.62,10.9071,20.973,8.22803,3.7,6.54
1dud,83.064,1053.28,2.47134,10.473,4.5082,2.3,4.82
1duv,116.114,1210.04,11.197,2.0453,19.1903,2.8,11.8
1dy4,104.449,1178.84,2.98544,57.6917,4.28683,2.3,4.36
1dzk,25.2337,887.532,3.59636,19.5958,0,1.6,6.1
1e1v,70.0055,1170.23,4.31803,12.2018,2,1.7,4.92
1e1x,59.4883,1140.31,4.23207,11.5249,2.78034,2,5.89
1e2k,84.9487,1210.54,3.6702,36.4549,2.01787,1.6,4.94
1e2l,86.1793,1148.63,4.45616,32.4156,3.50882,1.6,4.29
1e3g,78.2957,1416.94,2.35131,52.091,2.56354,1.1,9
1e3v,43.5224,1217.67,2.39961,39.8062,1,2,4.34
1e4h,37.9125,749.785,0.649298,35.0119,0,1.1,8.41
1e5j,100.5,1577.37,5.32596,0,9.64056,4.5,4
1e6q,78.7066,921.127,5.43401,0,7.70145,1.6,3.15
1e6s,80.9791,866.622,7.71361,0,10.6324,1.9,3.22
1eb2,137.082,1419.33,8.43861,40.0635,6.72018,2.5,6.01
1ebw,130.814,2395.68,5.57793,81.9588,9.05011,5,9.05
1ebz,138.345,2453.41,5.76542,81.0608,8.2322,4.3,9.4
1ec0,170.937,2717.84,6.43784,103.048,8.30385,4,8.49
1ec1,151.053,2688.1,7.42579,79.5429,9.39352,5,8.92
1ec2,142.539,2694.86,6.30743,80.2438,9.10248,5,10
1ec3,146.78,2647.84,7.78247,74.0827,8.66998,5.4,9.04
1ec9,81.7492,1012.39,8.61407,0,11.6723,2.3,3.1
1ecq,82.3064,1017.82,12.0408,0.775921,11.092,2.3,3
1ecv,98.4886,928.163,5.83036,38.7419,6.44445,1.6,4.85
1efy,93.0098,1010.32,1.64085,42.1997,1.49453,1.6,8.22
1egh,60.1096,672.703,5.88304,0,9.00091,1.6,5.7
1ejn,100.552,1371.12,5.36012,7.29364,7.33308,1.8,5.62
1ela,93.8676,1409.52,3.75387,43.9953,3.68983,3.1,6.36
1elb,102.482,1376.79,6.39168,39.8448,1.8937,3.7,7.15
1elc,157.356,1669.87,13.899,43.1915,1,3.7,6.66
1eld,108.921,1501.42,13.8565,52.9598,3.70284,2.8,6.7
1ele,96.691,1289.25,3.04215,35.1913,2.42505,2.6,6.85
1elr,110.032,1359.18,6.23974,28.2785,10.4403,5.4,4.96
1enu,66.5942,778.154,2.01209,27.2889,4.20404,1.1,5.08
1eoc,54.3907,823.18,4.32149,18.8082,4.65466,1.4,6.05
1epo,141.758,2118.94,7.09055,53.7769,9.67795,4.2,7.96
1erb,56.5491,1495.08,0.506689,68.9715,0,2.7,8.1
1ew8,50.4712,472.164,8.23308,0,2.94551,1.4,2.26
1ew9,30.3287,295.317,4.9961,0,0.893638,1.3,3.22
1ex8,188.36,2353.76,9.75237,0,13.3995,3.8,6.33
1ez9,107.168,1533.54,2.7839,0,4.05927,5.3,5.1
1ezq,167.281,1654.17,7.97965,101.544,6.43506,3.2,9.05
1f0r,121.75,1477.58,3.97517,36.7585,2,2,7.66
1f0s,125.004,1355.26,4.07394,35.3536,2,2,7.74
1f0t,103.807,1259.65,4.30687,17.2352,4.37704,2.4,6
1f0u,129.5,1413.93,3.81261,42.7147,5.31429,3.2,7.16
1f3e,65.3974,843.758,3.00242,19.1264,5.11381,1.2,6.7
1f4e,41.364,854.497,1.04962,47.7815,1.60144,1.6,2.96
1f4f,73.886,1426.29,1.82726,48.8653,0.725719,2.8,4.62
1f4g,97.6075,1755.19,3.28558,56.18,4.56062,3.4,6.48
1f4x,72.4951,939.267,3.39122,5.33094,5.50336,2.5,5.59
1f57,33.0384,366.445,2.37784,0,3.90665,1.6,5.64
1f5k,50.6531,618.717,2.10675,2.43144,3.72874,1.3,3.74
1f5l,65.7082,908.944,3.03976,0.732851,4.86939,1.4,5.28
1f73,72.3998,1136.39,6.67826,0.579844,11.2562,3.4,2.39
1f74,74.6457,1068.82,6.88857,2.42635,10.4068,3.2,3.05
1f8b,72.4602,1066.65,5.55263,9.18831,6.62008,2.4,5.4
1f8c,73.6597,1050.85,6.3992,8.57475,8.31187,2.4,7.4
1f8d,76.0968,1062.39,5.22742,8.78904,6.87035,2.4,3.4
1f8e,73.5265,1054.53,6.28497,8.57232,8.53212,2.4,4.82
1fao,81.1943,1059.82,7.22044,0,12.6809,2.8,7.37
1fch,112.368,1936.4,4.20561,27.8756,7.41846,5.6,7.15
1fcx,117.331,1934.35,2.14167,136.469,1.80544,1.7,7.19
1fcy,117.861,1931.16,2.49581,140.95,1.87339,1.6,8.52
1fcz,117.454,1809.01,2.4188,136.543,1.99919,1.8,9.22
1fd0,125.521,1978.28,2.62,136.957,2.18203,1.7,8.4
1fh7,89.7489,1003.79,6.56753,0,8.56799,1.9,5.24
1fh8,80.4189,918.564,5.20005,6.3778,8.61117,1.8,6.89
1fh9,105.034,1134.89,9.58811,0,13.285,2,6.43
1fhd,96.7673,1170.84,6.85555,0,10.4398,1.9,6.82
1fiv,187.907,2887.32,11.7895,103.838,11.2202,5.6,6.59
1fjs,138.285,1745.19,6.7906,41.2961,3.9003,3.1,9.96
1fkb,108.725,1758.71,3.01398,63.5447,4.28785,2.5,9.7
1fkf,112.697,1948.55,3.21177,65.0961,4.28513,2.7,9.4
1fkg,76.6282,1322.97,2.2793,67.6973,2.45556,3,8
1fkh,85.4333,1352.59,2.96042,68.1894,2.26259,3,8.15
1fki,85.5698,1230.97,1.5532,59.1728,1.79658,1,7
1fkn,155.172,2566.55,9.91586,47.7833,13.1422,7,8.8
1fkw,90.4335,1192.67,3.97629,0,3.99828,1.7,5.05
1fl3,95.6392,1555.03,4.18119,103.315,0,2.4,6.8
1flr,125.195,1403.19,2.89907,77.4154,3.67077,1.5,10
1fm9,158.147,2411.68,7.0687,129.439,3.91687,3.2,9
1fo0,274.042,3696.47,16.0131,106.635,20.1442,7.2,5.59
1fpc,99.1309,1539.22,2.8393,48.0128,2.72951,3,7
1fq5,149.464,2478.66,6.71097,81.1506,7.6411,3.1,8.4
1ft7,48.8521,634.114,4.17727,14.4639,3.19717,1.7,5.18
1ftm,86.6392,940.582,4.60278,16.5453,7.51247,1.8,7.61
1fv0,85.3166,1399.75,4.16516,21.8917,2.86291,1.5,5.93
1fzj,185.242,2934.08,7.35178,90.6441,11.0764,7.1,8.1
1fzk,164.358,2788.26,6.16504,87.8375,8.54443,5.8,8.4
1fzm,194.03,2895,7.50079,82.5609,13.4208,7.1,7.7
1fzo,180.04,2810.64,7.99775,96.9604,9.81644,5.8,7.89
1fzq,133.595,1170.9,7.90305,0,12.8781,2.4,7.62
1g1d,51.1008,934.655,2.19989,33.6577,2.03045,1.9,9.44
1g2k,141.475,2352.14,5.49692,77.9766,7.23579,3.4,7.96
1g2l,152.413,1751.41,4.75516,72.6346,3.72289,3.4,7.24
1g2o,107.207,1365.71,4.80406,1.70247,6.44064,1.7,10.55
1g30,129.295,1734.46,5.26972,54.7947,3.19665,3.5,6.85
1g32,126.334,1673.91,6.53167,52.6383,3.31404,2.3,6.11
1g35,136.109,2403.17,6.62209,66.4149,8.59679,3.6,8.14
1g36,103.935,1415.54,4.18469,35.1,4.26768,2.3,7.17
1g3d,63.179,880.123,2.41223,5.68526,4.9659,2,5.55
1g3e,64.642,920.563,2.57359,4.80299,4.51655,2,5.38
1g45,48.4822,891.478,2.40512,31.0509,1.7212,1.9,8.64
1g46,52.8662,924.714,2.37587,33.036,1.67421,1.9,8.8
1g48,50.7406,929.129,2.45934,30.2905,1.75642,1.9,8.41
1g4j,47.1071,948.163,2.21498,23.8888,1.52709,1.9,8.7
1g4o,49.0025,835.584,2.15804,32.1768,1.70991,1.7,8.25
1g52,55.5103,948.339,2.03419,36.503,1.96145,1.9,9.54
1g53,55.7868,964.992,2.86001,33.2805,1.88076,1.7,9.04
1g54,57.3978,1044.79,2.0619,31.6299,1.87747,1.9,8.82
1g74,64.2678,1251.44,5.13171,66.0429,1,4,6.52
1g7f,109.144,1386.12,5.84128,41.8022,9.24242,4.2,5.47
1g7g,143.908,1557.39,11.2444,56.7317,9.55737,4.8,6.6
1g7q,160.502,2354.02,10.9481,25.9499,12.1832,5.5,6.06
1g7v,66.0187,1215.6,8.16205,0,4.99396,3.8,6.4
1g85,21.7612,664.34,1.12044,36.1614,0,2.1,5.48
1g98,70.047,995.362,8.31076,0,9.60648,2.5,5.7
1g9r,190.08,2361.6,11.5459,5.31978,14.9406,3.3,5.7
1gaf,94.5336,1185.14,3.69728,39.8907,4.5914,2.6,8
1gai,122.726,1953.77,6.41333,15.1543,11.9831,4.1,8
1gar,145.672,2036.44,8.86248,19.3022,12.2268,5.4,10
1gcz,99.7489,1041.24,6.56752,48.9912,4.99841,1.7,5.13
1gfy,97.1034,1019.51,6.63005,20.3989,6.32231,1.6,5.08
1ghv,70.1837,1056.21,4.11032,12.7101,6.2599,1.3,4.35
1ghw,78.5165,1048.32,6.23298,20.494,5.7855,1.4,4.2
1ghy,94.8356,1094.65,4.54105,16.8576,5.36147,1.4,8.1
1ghz,70.8497,936.47,2.0682,6.19751,4.88668,1.3,4.8
1gi1,81.504,976.05,5.48604,9.45319,6.64917,1.4,5.47
1gi4,80.4921,969.235,1.93891,7.15309,4.65928,1.7,7.19
1gi7,85.314,973.376,2.45897,8.07507,3.36997,1.3,4.51
1gj6,116.267,1340.45,6.11894,19.2492,6.61462,1.8,7
1gj7,106.941,1384.85,7.25219,16.8061,6.16233,1.8,7.89
1gj8,92.0309,1261.41,5.7801,11.2793,4.54192,2,6.96
1gja,91.6992,1079.99,3.78008,7.53325,6.31402,1.8,5.42
1gjc,97.8475,1272.06,5.02655,11.8017,5.28519,1.4,6.35
1gjd,106.516,1184.81,5.30403,10.9151,6.10206,1.8,5.22
1gnm,109.805,2023.74,12.908,39.5655,9.31456,4.9,6.25
1gnn,121.675,1992.56,14.0919,40.5564,9.58084,4.9,5.68
1gno,109.292,1972.06,13.6184,41.4655,7.02438,4.9,7.7
1grp,41.0189,717.606,3.46994,3.46013,7.84696,2.1,3.72
1gu1,74.3199,883.194,4.92352,6.71786,9.69883,1.5,4.52
1gvw,130.696,2001.12,5.06315,53.9354,5.1058,4.8,6.96
1gvx,143.035,2610.65,4.066,67.645,8.54078,6.9,7.22
1gwv,66.1745,950.291,1.71596,0,3.91343,2.6,2.57
1gx8,47.2193,1047.16,3.21402,70.8734,1,2.1,6.37
1gyx,60.3248,446.82,1.30617,39.4297,2.12957,1.2,2.48
1gyy,75.9053,646.061,3.42286,45.4498,2.69559,1.5,3.64
1gz4,120.588,1569.2,3.06259,0,4.98432,2.8,3.7
1h0a,56.1075,900.078,4.64527,0,10.0868,2.5,5.44
1h1d,64.1297,994.015,4.40205,19.4505,5.80831,2.6,8.22
1h1s,95.3053,1556.1,3.46468,22.1759,3.25643,2.1,8.22
1h2k,51.5408,711.594,3.54414,0,6.01261,1.6,2.92
1h2t,227.39,2020.02,11.3558,0,12.18,4,7.89
1h46,86.7437,1055.22,3.04846,44.294,1.92472,2.1,3.57
1h4w,62.8084,615.711,2.30808,3.45808,4.11856,1.3,4.66
1h5v,118.92,1873.88,6.91124,0,11.9098,5.4,3.93
1h6h,75.1399,983.83,3.73236,0.0101593,8.08616,4.6,5.3
1hbv,104.753,2049.81,3.53173,60.2719,1.78638,3.9,6.37
1hdq,43.8641,898.427,1.72402,24.77,4.34003,1.9,5.82
1hee,63.5123,1043.36,3.64901,22.7304,7.66511,1.9,5.34
1hfs,195.758,2865.91,6.37513,140.118,4.21203,4.6,8.7
1hi3,61.1478,887.845,3.55737,0,4.2743,2.4,4.19
1hi4,102.869,1154.58,9.31329,0,6.30071,2.3,4.49
1hi5,63.602,1011.06,4.25841,0,6.13101,2.5,4.04
1hih,105.52,2127.88,4.96493,67.7089,7.94037,4.1,8.05
1hii,108.916,2119.71,4.02075,79.6212,7.11569,4.1,7.28
1hk4,80.4137,1146.58,5.6702,42.442,1.1262,2.2,5.31
1hlk,50.2874,1128.35,0.833946,13.633,0.730645,1.6,5
1hmr,47.8738,1107.38,1.70297,55.9173,2.71449,4.2,6.55
1hms,45.0829,1121.63,1.62384,58.2551,2.75791,4,6.37
1hmt,48.9892,1141.95,1.49333,59.6689,2.63476,4.2,5.79
1hn4,130.755,2121.38,2.77667,84.0051,1.68115,5.8,3.82
1hnn,82.4085,940.233,3.35039,44.1141,2.35153,1.3,6.24
1hos,112.686,2458.59,4.68313,82.7059,3.24137,5,8.55
1hp5,98.7074,952.848,6.86747,15.838,6.44254,1.5,6.55
1hpo,97.8885,1744.51,4.84265,41.3001,4.42489,2.3,9.22
1hps,125.583,2317.43,5.48729,71.5057,6.70103,4.5,9.22
1hpv,98.6331,1904.03,3.93409,48.8802,3.82558,3.6,9.22
1hpx,121.402,2169.78,4.55759,46.5198,4.23829,3.9,11.26
1hsh,124.266,2299.8,2.51199,82.5886,3.87743,3.6,9.42
1hsl,74.6267,758.206,3.53945,2.41578,6.03924,1.7,7.19
1hvh,100.517,2202.09,8.92755,63.3636,5.30092,3.6,7.96
1hvi,154.64,2605.22,5.65048,83.0027,7.81214,5,10.92
1hvj,152.36,2535.74,4.95134,82.2111,6.46515,4.9,11.4
1hvk,178.713,2652.87,5.88483,94.0638,8.13707,5,10.96
1hvl,157.121,2611.41,5.23335,84.9343,6.54072,5,9.95
1hvr,131.857,2424.08,3.03743,118.631,4.1471,2.8,9.51
1hvs,142.577,2572.78,4.04037,78.331,5.70387,5,10.3
1hwr,91.0594,1585.79,2.49579,57.2749,4.27134,2.8,8.33
1hxb,137.934,2403.48,5.21945,82.3755,6.16772,3.7,9.92
1hxw,142.804,2329.46,5.00253,66.593,5.47019,4.7,10.82
1hyo,62.1159,798.677,3.77788,6.22974,6.63562,1.8,4.07
1i00,67.1734,1107.36,3.03152,37.8297,1.83437,2.8,6.34
1i1e,133.166,1570.37,20.1356,31.3652,6.6354,2.9,5.03
1i2s,38.9323,722.61,4.42061,3.31795,6.63041,2.1,3.31
1i37,69.406,1409.37,2.99417,48.7203,2.86428,1.1,9.57
1i5r,204.011,2975.19,10.5724,106.809,6.55724,4.1,8.52
1i7z,83.3111,1487.79,1.33843,43.7016,0.237516,2,6.4
1i80,70.6784,655.178,2.00854,2.2036,2.60671,1,6.41
1i9l,51.0967,854.533,2.35949,31.9147,1.83306,1.7,8.48
1i9m,55.7385,984.956,8.08736,27.6957,4.07335,1.7,8.48
1i9n,55.8581,913.194,3.36066,32.848,2.06389,1.7,8.66
1i9o,61.9135,951.716,2.59457,32.5441,2.18146,1.7,8.42
1i9p,59.7719,976.354,4.05054,33.4224,2.62232,1.7,8.41
1i9q,51.3185,944.11,2.5575,28.8892,1.51494,1.9,8.41
1ie9,93.2122,1956.3,3.56867,97.6574,5.24511,2.5,10.19
1if7,52.9485,1069.55,2.61504,31.9718,2.07922,2.3,10.52
1if8,53.1325,987.113,3.27787,34.3001,2.07262,2.3,9.64
1igb,67.9128,855.387,5.02686,45.7072,5.52189,1.9,6.4
1igj,74.564,1420.54,1.54163,57.05,0.102593,2,10
1ii5,65.0705,675.242,4.90543,9.13058,8.35222,1.9,6.62
1iih,58.1169,727.051,3.18913,0,6.64858,1.9,2.89
1iiq,160.631,2569.85,9.19407,86.0315,9.53372,5.3,7.48
1ik4,66.1831,749.822,8.99359,0,13.5529,1.7,7.41
1ikt,76.5084,1437.66,2.0539,54.4975,0.972123,3.6,3.4
1ivp,142.357,2555.67,10.2514,75.773,5.10955,5.3,7.52
1iy7,63.5855,1071.04,5.06151,25.2847,8.54239,2.1,6.19
1izh,169.538,2556.99,9.71962,88.6376,10.2547,5.1,7.7
