receptor,van_der_Waals,hydrogen_bonding,electrostatic,solvation,tors,exp_binding_affinity
1b3g,-107.707,-56.0225,-0.113877,208.196,16.5,6.7
1b3h,-118.114,-57.4801,-0.114576,209.564,16.5,6.21
1b3l,-90.9694,-56.6399,-0.112187,202.304,14.5,5.89
1b40,-119.99,-56.8495,-0.115002,228.463,16.5,7.28
1b46,-103.38,-56.4975,-0.115133,207.415,13.5,5.28
1b4h,-104.825,-58.7613,-0.122946,244.459,17,5.46
1b4z,-106.93,-59.4524,-0.105236,245.385,16.5,5.23
1b51,-99.0031,-56.1674,-0.112352,225.379,16,7.37
1b52,-101.871,-57.1873,-0.110734,222.966,16,7.12
1b55,-78.9517,-43.9515,-0.268807,178.71,9,7.4
1b57,-53.7916,-35.8784,-0.00909452,107.603,3.5,8
1b58,-120.546,-62.9396,-0.116466,240.021,17,6.59
1b5h,-101.537,-55.3182,-0.127056,244.177,16,6.01
1b5i,-106.043,-53.8587,-0.110852,241.064,16.5,7.05
1b5j,-111.472,-67.0468,-0.120627,242.182,17.5,7.43
1b6h,-105.045,-57.7413,-0.113428,209.365,16.5,7.82
1b6j,-131.504,-48.1868,-0.0234325,186.362,13.5,7.92
1b6k,-121.613,-38.2827,-0.0614988,161.235,13,8.74
1b6l,-107.503,-27.6328,-0.012145,138.449,7.5,8.3
1b7h,-109.514,-57.6636,-0.113405,210.361,17.5,8.02
1b8n,-78.9367,-27.4395,-0.0334366,179.99,4,10.52
1b8o,-73.2577,-23.9856,-0.0112425,157.383,3.5,10.64
1b8y,-98.9174,-14.3219,0.0243633,82.7119,6,7.85
1b9j,-106.486,-59.7943,-0.116,208.611,16.5,5.96
1bai,-137.678,-42.4559,-0.00344475,235.03,28.5,7.7
1bcd,-28.8522,-9.52619,-0.0019921,55.9225,1.5,8.7
1bdq,-111.427,-22.7337,-0.00387612,119.469,14.5,6.34
1bgq,-66.5008,-8.29239,-0.00403828,85.5713,1,8.57
1bhf,-83.9341,-25.3514,-0.0659451,130.199,20,4.38
1bhx,-92.5004,-28.1814,-0.027469,140.243,9,6.84
1bju,-68.9393,-19.9867,-0.00499322,100.508,3.5,4.8
1bjv,-74.1162,-19.1491,-0.00556781,109.85,5.5,5.54
1bm7,-56.0072,-7.30888,-0.025157,85.4128,4,7.52
1bma,-98.4388,-14.7848,-0.00295326,107.582,12,4.59
1bn1,-55.8194,-10.4293,-0.00326692,62.9305,5.5,9.34
1bn3,-59.1945,-13.8061,-0.00317579,64.3841,2.5,9.89
1bn4,-57.0797,-11.4483,-0.00344601,67.822,6.5,9.31
1bnn,-59.1281,-11.958,-0.00350721,66.503,2.5,10
1bnq,-60.1915,-11.879,-0.00797888,87.4328,6.5,9.49
1bnt,-59.0136,-10.922,0.000234173,78.1291,3,9.8
1bnu,-58.7548,-10.7591,-0.000283127,71.3721,4,9.7
1bnv,-62.2711,-18.5333,-0.00667846,90.7169,3.5,8.77
1bnw,-52.2542,-11.6952,-0.00282921,61.5904,5.5,9.08
1bp0,-57.3915,-38.8444,-0.0510168,133.423,4.5,5.4
1bq4,-49.3439,-17.1846,-0.17821,179.93,6,5.22
1br6,-79.315,-23.0574,-0.00202833,174.322,5,3.22
1bty,-45.9419,-19.1652,-0.00419343,61.0539,1.5,4.74
1bv7,-157.313,-34.8866,-0.0076856,174.238,13,10.3
1bv9,-156.919,-41.7556,-0.00999166,180.694,13,9.96
1bwa,-154.936,-43.4123,-0.0107912,183.111,13,8.6
1bwb,-167.419,-47.8523,-0.0302089,208.781,13,8.42
1bxo,-116.467,-29.8005,0.0521708,162.79,10,10
1bxq,-116.095,-30.9722,0.053964,164.904,19,7.38
1bxr,-119.28,-48.568,0.0079721,311.583,9.5,3.4
1bzj,-69.2508,-23.8122,-0.068905,115.076,3,4.66
1bzy,-97.0487,-55.6729,-0.0668036,224.758,5,8.34
1c1r,-68.6842,-20.4666,-0.00475678,118.123,3.5,7.63
1c1u,-70.9981,-16.5747,-0.0045849,125.442,3.5,8.25
1c1v,-74.6737,-21.9256,-0.00541691,150.434,5.5,7.64
1c3e,-106.47,-35.5512,-0.0122077,154.011,10.5,6.59
1c3x,-51.2261,-9.91947,-0.0069706,107.332,0,3.68
1c4u,-107.269,-20.9243,-0.00606802,117.089,7.5,10.37
1c5c,-71.4849,-21.4662,-0.067308,105.667,3,6.96
1c5n,-55.6927,-15.6797,-0.00344784,68.9256,1.5,4.7
1c5o,-41.2428,-17.3514,-0.00419789,58.4708,1.5,3.49
1c5p,-44.3428,-19.1076,-0.00468071,58.6926,1.5,4.68
1c5q,-58.6129,-19.4371,-0.00417087,68.3184,1.5,6.36
1c5s,-53.5765,-19.8422,-0.00467005,65.6154,1.5,6
1c5t,-52.5919,-22.6855,-0.00503783,78.4076,1.5,4.1
1c5x,-63.3772,-21.0348,-0.00422446,71.9234,1.5,6.68
1c5y,-55.7792,-22.9266,-0.00440984,82.5537,1.5,4.2
1c70,-137.744,-22.1684,-0.0203472,153.246,13,10.3
1c83,-69.6143,-27.9366,-0.0436611,122.388,3,4.85
1c84,-69.7173,-23.3401,-0.0308651,113.454,3,5
1c86,-66.8974,-32.9227,-0.0550024,113.426,4.5,4.7
1c87,-65.3592,-29.6323,-0.0490213,114.055,3,4.2
1c88,-69.5553,-35.6493,-0.0657497,125.229,3,5.29
1cbx,-56.5982,-21.4342,-0.00667735,92.9922,5,6.35
1ceb,-38.0451,-14.0291,-0.0725785,44.392,2.5,6
1cet,-47.1912,-2.90465,-0.00366508,39.2937,8,2.89
1cgl,-98.6524,-43.2632,-0.0315806,149.77,19,6.87
1ch8,-104.319,-48.9582,-0.0827363,264.257,6.5,7
1ciz,-117.691,-10.7749,0.0276432,102.844,8,7.44
1cnw,-56.4387,-6.97498,-0.00357835,90.6552,13,7.72
1cnx,-56.6839,-9.39631,-0.00524042,86.47,11,7.37
1cny,-55.5811,-8.47281,-0.0028047,85.9052,15,7.85
1cps,-55.1891,-24.206,-0.0236536,101.709,6,6.66
1ct8,-95.751,-13.813,-0.0297435,153.687,12.5,6.52
1ctt,-73.5153,-17.6513,-0.00386964,119.211,3.5,4.52
1ctu,-54.8559,-29.1877,0.00653878,149.058,4,11.92
1d09,-68.7418,-53.1997,-0.166339,182.06,6,7.57
1d2e,-94.3919,-49.3134,-0.0493956,201.958,7.5,6
1d3d,-108.356,-4.88291,-0.00964791,102.152,9.5,9.09
1d3p,-106.222,-5.0009,-0.00476609,102.22,11.5,7.39
1d4h,-142.292,-27.0923,-0.00598236,165.107,14.5,10
1d4i,-149.041,-25.0426,-0.00607305,163.616,14.5,8.85
1d4j,-144.209,-26.3456,-0.00517827,173.719,15.5,8.36
1d4k,-133.098,-39.9198,-0.0293041,157.072,12,9.22
1d4l,-116.592,-24.3189,-0.00208086,124.868,10,8.77
1d4p,-87.5042,-15.6457,-0.00492943,106.561,4.5,6.3
1d4y,-113.663,-27.7131,-0.00545588,78.8455,11,11.1
1d6v,-83.7495,-6.30116,0.00661988,71.0758,7.5,6.17
1d6w,-106.884,-22.7478,-0.0219679,145.467,8.5,5.96
1d7i,-23.2415,-4.54816,-0.00227812,5.70317,2,3.6
1d7j,-22.9172,-5.31346,-0.00233807,19.303,2.5,3.3
1d9i,-87.7612,-15.1697,-0.0254182,106.169,7.5,9.11
1dar,-82.4262,-27.7671,-0.0420488,169.335,7.5,4.96
1det,-50.6043,-20.0862,-0.0247168,111.129,5.5,4.3
1df8,-69.5471,-21.5697,-0.0205175,84.3727,5,9.7
1dfo,-98.2836,-35.8245,-0.00285853,205.085,10.5,6.7
1dgm,-50.0231,-10.1235,0.00506805,142.718,4,5.05
1dhi,-78.773,-22.283,-0.0533603,182.701,10,7.26
1dhj,-81.727,-20.9747,-0.0540326,185.734,9.5,6.55
1dif,-145.776,-34.4022,-0.012584,194.988,20,10.66
1dl7,-63.6402,-6.10845,-0.0172314,85.5232,7,6.49
1dmp,-120.627,-33.0299,-0.0113071,144.23,10,9.55
1dqn,-73.2576,-49.8317,-0.0342963,168.664,5,8
1drj,-48.7838,-37.0763,0.0120944,102.703,2,7.4
1drk,-47.9504,-39.0634,0.00799601,103.805,2,6.82
1drv,-131.728,-38.803,-0.0431049,234.823,13.5,6.54
1dud,-61.3364,-37.351,-0.0105411,130.013,6.5,4.82
1duv,-76.4807,-69.174,-0.0962194,193.545,9,11.8
1dy4,-76.0692,-11.9618,-0.0814211,106.517,6.5,4.36
1dzk,-26.9567,-0.843962,-0.000156982,40.2256,3,6.1
1e1v,-65.7416,-11.8851,0.00306568,108.9,3.5,4.92
1e1x,-60.5997,-14.3648,0.00899913,116.713,5,5.89
1e2k,-68.2434,-15.6645,-0.00497319,103.038,3,4.94
1e2l,-67.0036,-15.9472,-0.00273689,99.611,3,4.29
1e3g,-77.0902,-9.9788,-0.00614453,9.1841,0.5,9
1e3v,-51.0379,-0.0750764,0.0521628,31.9997,5,4.34
1e4h,-44.3587,-0.000944384,-0.000450662,38.1661,0.5,8.41
1e5j,-82.9429,-33.474,0.0175832,201.575,17.5,4
1e6q,-56.3258,-21.8301,0.0103454,136.326,3,3.15
1e6s,-55.6902,-24.7076,0.00882527,130.887,4.5,3.22
1eb2,-101.221,-28.3668,-0.00803917,114.841,7.5,6.01
1ebw,-129.845,-37.6792,-0.0071278,163.966,20,9.05
1ebz,-137.859,-32.8079,-0.00866566,171.791,16.5,9.4
1ec0,-155.153,-28.1688,-0.0101432,193.202,15,8.49
1ec1,-147.926,-37.8296,-0.0074726,183.49,20,8.92
1ec2,-144.363,-39.1793,-0.00701502,192.683,20,10
1ec3,-142.878,-41.1289,-0.00721939,192.187,22,9.04
1ec9,-61.29,-40.866,-0.00452697,161.039,6.5,3.1
1ecq,-61.2183,-36.1676,0.0199582,153.073,6.5,3
1ecv,-67.2164,-29.7304,-0.0426515,109.388,3,4.85
1efy,-68.6963,-10.5042,-0.00231714,90.383,3,8.22
1egh,-43.5173,-28.5116,-0.0245856,99.6166,3,5.7
1ejn,-89.75,-31.1536,-0.0344791,110.81,4,5.62
1ela,-81.0473,-16.7243,-0.0102723,109.268,10.5,6.36
1elb,-79.6242,-5.00828,-0.000110711,106.575,13.5,7.15
1elc,-115.599,-5.90478,-0.012485,126.114,13.5,6.66
1eld,-77.3781,-12.5382,-0.00336889,115.713,9,6.7
1ele,-76.8605,-13.7294,-0.00317517,102.538,8,6.85
1elr,-80.3419,-48.4022,-0.122642,162.826,22,4.96
1enu,-47.6337,-20.4133,-0.00880016,82.1501,0.5,5.08
1eoc,-48.4634,-9.50316,-0.0144061,79.4727,2,6.05
1epo,-119.212,-37.1572,-0.0117674,167.683,16,7.96
1erb,-77.6899,-0.0840639,-3.93368e-05,20.5892,8.5,8.1
1ew8,-28.1628,-16.2394,0.0940616,89.5471,2,2.26
1ew9,-20.3118,-6.97915,0.0266566,56.3258,1.5,3.22
1ex8,-138.581,-67.4645,-0.0718267,349.754,14,6.33
1ez9,-91.2381,-8.84996,0.0120837,205.514,21.5,5.1
1ezq,-119.13,-28.2345,-0.0211305,131.49,11,9.05
1f0r,-93.8798,-12.1088,-0.00561802,113.664,5,7.66
1f0s,-89.6619,-8.0141,-0.00376419,104.578,5,7.74
1f0t,-83.3796,-26.5432,-0.0067713,115.187,7,6
1f0u,-98.2609,-30.7735,-0.00716772,116.212,11,7.16
1f3e,-50.7057,-20.0334,-0.0104948,102.932,1,6.7
1f4e,-41.9689,-5.81189,0.00363276,55.5662,3,2.96
1f4f,-67.4125,-4.23446,-0.00131977,121.395,9,4.62
1f4g,-84.5577,-13.0843,-0.021327,153.024,12,6.48
1f4x,-61.5628,-18.9708,0.00321359,91.7776,7.5,5.59
1f57,-23.227,-24.4195,-0.0484225,71.7439,3,5.64
1f5k,-42.9709,-20.2796,-0.00357693,59.478,1.5,3.74
1f5l,-60.2303,-32.0291,-0.0291928,151.232,2,5.28
1f73,-61.5248,-38.8682,-0.032819,151.427,12,2.39
1f74,-59.853,-32.7754,-0.0306555,126.42,11,3.05
1f8b,-57.5122,-25.5885,-0.035115,145.17,7,5.4
1f8c,-57.5281,-33.3058,-0.0850814,157.808,7,7.4
1f8d,-58.7747,-29.2085,-0.0539108,156.42,7,3.4
1f8e,-58.3752,-35.3245,-0.1014,172.06,7,4.82
1fao,-63.5175,-55.4212,-0.247788,141.938,9,7.37
1fch,-100.306,-41.7738,-0.0558584,210.588,23,7.15
1fcx,-105.219,-6.88668,-0.0199821,61.008,3.5,7.19
1fcy,-105.419,-7.2845,-0.022437,51.0999,3,8.52
1fcz,-99.6513,-9.12481,-0.0234746,30.0713,4,9.22
1fd0,-108.1,-10.616,-0.0246172,67.149,3.5,8.4
1fh7,-67.2499,-26.1463,-0.0252752,137.167,4.5,5.24
1fh8,-61.0529,-35.9965,-0.0530661,118.274,4,6.89
1fh9,-77.3031,-39.3253,0.000445961,152.124,5,6.43
1fhd,-75.3463,-31.4795,0.0039218,147.113,4.5,6.82
1fiv,-168.647,-55.5938,-0.0171811,201.561,23,6.59
1fjs,-112.031,-17.6618,-0.00976122,187.914,10.5,9.96
1fkb,-95.2958,-12.908,-0.00294379,75.4195,7.5,9.7
1fkf,-103.4,-18.6095,-0.00590434,99.394,8.5,9.4
1fkg,-72.8619,-2.87171,-0.00123149,38.4066,10,8
1fkh,-75.5676,-4.06615,-0.00128906,33.0022,10,8.15
1fki,-69.2936,-3.96109,0.000493689,41.0202,0,7
1fkn,-143.028,-52.9199,-0.0249105,250.059,30,8.8
1fkw,-69.089,-12.5076,-0.0022857,156.101,3.5,5.05
1fl3,-83.9727,-0.124949,-0.00182814,62.7272,7,6.8
1flr,-92.2483,-8.23565,-0.0185408,96.1371,2.5,10
1fm9,-138.489,-8.67463,-0.00988422,118.755,11,9
1fo0,-213.149,-79.1319,-0.0700475,375.591,31,5.59
1fpc,-88.6233,-18.9288,-0.0221948,124.262,10,7
1fq5,-142.17,-35.4073,-0.00707699,146.583,10.5,8.4
1ft7,-39.9033,-16.0791,0.0394552,85.0217,3.5,5.18
1ftm,-61.5147,-38.8343,-0.0576305,121.14,4,7.61
1fv0,-78.6408,-8.21553,-0.0101517,100.724,2.5,5.93
1fzj,-156.371,-58.1181,-0.0658559,285.778,30.5,8.1
1fzk,-146.875,-45.8187,-0.0557041,236.78,24,8.4
1fzm,-165.765,-62.951,-0.061109,294.232,30.5,7.7
1fzo,-153.748,-46.7734,-0.0644238,242.015,24,7.89
1fzq,-86.5219,-46.1472,-0.0956811,170.173,7,7.62
1g1d,-51.3007,-8.94627,-0.00243842,67.6997,4.5,9.44
1g2k,-129.29,-31.9683,-0.0135789,143.738,12,7.96
1g2l,-113.268,-18.7798,-0.00620771,153.427,12,7.24
1g2o,-81.0002,-25.5132,-0.0201591,173.553,3.5,10.55
1g30,-105.207,-16.0513,-0.00492591,153.13,12.5,6.85
1g32,-102.088,-16.5447,-0.00598257,142.02,6.5,6.11
1g35,-131.538,-32.2437,-0.0164576,150.038,13,8.14
1g36,-88.0178,-19.8834,-0.00561223,125.999,6.5,7.17
1g3d,-55.6977,-23.4842,-0.00538182,100.731,5,5.55
1g3e,-55.6503,-19.6706,-0.00778433,99.954,5,5.38
1g45,-48.3546,-8.27318,-0.00228473,68.1681,4.5,8.64
1g46,-49.0752,-6.98644,-0.00203725,71.8902,4.5,8.8
1g48,-48.5058,-7.64152,-0.00189917,72.7937,4.5,8.41
1g4j,-47.7768,-6.87788,-0.00205761,84.1017,4.5,8.7
1g4o,-46.089,-8.29524,-0.00243985,62.559,3.5,8.25
1g52,-52.2655,-8.36264,-0.0023167,72.1494,4.5,9.54
1g53,-52.398,-8.43438,-0.00222661,73.6765,3.5,9.04
1g54,-53.8113,-8.63028,-0.00263213,85.2349,4.5,8.82
1g74,-64.3473,-3.36279,-0.0121987,28.1762,15,6.52
1g7f,-85.2747,-37.6533,-0.0845506,145.804,16,5.47
1g7g,-105.552,-34.469,-0.0587311,153.053,19,6.6
1g7q,-128.912,-54.2645,-0.0579527,268.219,22.5,6.06
1g7v,-63.7254,-9.26716,-0.00710377,186.221,14,6.4
1g85,-34.0082,-0.0119927,-0.000114765,7.54841,5.5,5.48
1g98,-58.978,-28.7435,-0.0287418,156.424,7.5,5.7
1g9r,-141.214,-48.8498,0.00933147,283.56,11.5,5.7
1gaf,-71.4899,-15.0715,-0.0486519,94.8665,8,8
1gai,-112.304,-40.8212,-0.0474246,241.473,15.5,8
1gar,-126.316,-49.8729,-0.0601339,207.817,22,10
1gcz,-71.4074,-15.9167,-0.00672807,63.176,3.5,5.13
1gfy,-68.3643,-29.0475,-0.0420801,108.463,3,5.08
1ghv,-64.18,-24.9808,-0.00580037,118.258,1.5,4.35
1ghw,-66.7947,-25.8221,-0.00349926,115.505,2,4.2
1ghy,-75.3706,-22.8955,-0.00266496,128.665,2,8.1
1ghz,-60.703,-24.7031,-0.00534788,107.913,1.5,4.8
1gi1,-65.0312,-28.5396,-0.00519462,110.016,2,5.47
1gi4,-64.0494,-27.3933,-0.00356342,109.007,3.5,7.19
1gi7,-62.1237,-22.3159,-0.00257868,114.857,1.5,4.51
1gj6,-93.0318,-24.7577,-0.00188503,116.986,4,7
1gj7,-89.955,-25.8579,-0.00162303,122.62,4,7.89
1gj8,-75.9857,-23.3702,-0.00278002,131.745,5,6.96
1gja,-72.2165,-28.6669,-0.00523732,109.489,4,5.42
1gjc,-80.2317,-26.5497,-0.00393498,125.77,2,6.35
1gjd,-90.0031,-28.111,-0.00506162,121.335,4,5.22
1gnm,-109.485,-39.8417,-0.0167946,152.958,19.5,6.25
1gnn,-111.652,-45.856,-0.00175585,154.289,19.5,5.68
1gno,-106.298,-29.0527,0.00771335,143.239,19.5,7.7
1grp,-36.0991,-30.4429,-0.0353078,116.856,5.5,3.72
1gu1,-55.5338,-34.8857,0.000708358,97.5022,2.5,4.52
1gvw,-112.528,-30.5203,0.0546007,160.539,19,6.96
1gvx,-142.138,-43.1619,-0.0733833,247.908,29.5,7.22
1gwv,-55.2406,-16.199,0.00455255,123.629,8,2.57
1gx8,-51.6555,-1.73947,0.00361562,1.10417,5.5,6.37
1gyx,-36.1272,-11.3545,-0.0354147,35.7848,1,2.48
1gyy,-43.9171,-9.80395,-0.0397202,52.5418,2.5,3.64
1gz4,-93.4232,-28.9231,-0.0222043,228.584,9,3.7
1h0a,-47.2989,-49.9201,-0.188643,150.413,7.5,5.44
1h1d,-56.2049,-15.6748,0.00246093,84.6179,8,8.22
1h1s,-87.2207,-16.15,-0.00118234,124.898,5.5,8.22
1h2k,-38.3101,-18.6874,-0.00261293,107.81,3,2.92
1h2t,-132.571,-48.3146,-0.0502943,294.616,15,7.89
1h46,-67.6232,-9.78613,-0.00208454,82.9311,5.5,3.57
1h4w,-46.3313,-18.6099,-0.00472595,61.676,1.5,4.66
1h5v,-100.777,-44.0435,-0.00670052,230.813,22,3.93
1h6h,-61.4868,-37.7994,-0.0945702,120.817,18,5.3
1hbv,-107.491,-11.279,-0.0193577,132.684,14.5,6.37
1hdq,-41.6388,-24.1379,-0.0269719,91.9793,4.5,5.82
1hee,-55.5429,-32.456,-0.0283802,104.072,4.5,5.34
1hfs,-168.527,-18.4828,0.0281413,117.702,18,8.7
1hi3,-43.3373,-20.5342,-0.0668081,150.665,7,4.19
1hi4,-51.6469,-26.7594,-0.0826018,171.351,6.5,4.49
1hi5,-53.2423,-23.3921,-0.0608278,161.987,7.5,4.04
1hih,-111.647,-32.262,-0.0165152,127.019,15.5,8.05
1hii,-114.519,-30.1711,-0.0238255,125.524,15.5,7.28
1hk4,-83.6054,-8.36452,-0.0148714,106.415,6,5.31
1hlk,-52.501,-4.81406,-0.00138074,90.6491,3,5
1hmr,-58.4304,-8.85724,-0.0292009,28.8139,16,6.55
1hms,-56.9076,-9.26748,-0.0299789,31.3851,15,6.37
1hmt,-58.5809,-9.75871,-0.0289138,28.7795,16,5.79
1hn4,-117.539,-9.32289,0.0253454,92.8503,24,3.82
1hnn,-59.4016,-7.60719,-0.0447774,74.7292,1.5,6.24
1hos,-121.93,-24.5097,0.0396554,156.114,20,8.55
1hp5,-66.5181,-21.3205,0.00510139,103.107,2.5,6.55
1hpo,-94.1559,-16.51,0.00223197,81.682,6.5,9.22
1hps,-125.021,-30.371,-0.00816034,139.116,17.5,9.22
1hpv,-102.958,-14.4569,0.00146576,116.893,13,9.22
1hpx,-112.761,-18.0169,0.00278227,145.471,14.5,11.26
1hsh,-123.033,-20.9298,-0.0239191,155.582,13,9.42
1hsl,-50.3268,-35.5246,-0.0570526,122.459,3.5,7.19
1hvh,-111.034,-19.4639,-0.0176847,145.482,13,7.96
1hvi,-139.895,-40.2613,-0.0109895,186.281,20,10.92
1hvj,-136.418,-34.5869,-0.00807564,170.427,19.5,11.4
1hvk,-146.531,-36.8907,-0.0161521,189.831,20,10.96
1hvl,-139.28,-39.3094,-0.012535,186.403,20,9.95
1hvr,-134.577,-21.555,-0.0109105,124.003,9,9.51
1hvs,-135.342,-32.296,-0.00505076,188.115,20,10.3
1hwr,-84.3367,-23.4268,-0.0120157,85.056,9,8.33
1hxb,-128.763,-39.8322,-0.022664,158.781,13.5,9.92
1hxw,-130.301,-27.9059,-0.00308261,150,18.5,10.82
1hyo,-47.1328,-24.02,0.00216701,99.5282,4,4.07
1i00,-53.912,-7.01046,-0.0207773,106.38,9,6.34
1i1e,-101.167,-12.9918,-0.00972157,152.526,9.5,5.03
1i2s,-37.3182,-7.62644,-0.0356011,106.838,5.5,3.31
1i37,-74.1924,-7.72553,-0.00100464,7.14956,0.5,9.57
1i5r,-169.717,-21.9557,0.00945888,198.305,15.5,8.52
1i7z,-78.0007,-0.39174,-0.0167297,71.928,5,6.4
1i80,-45.2707,-14.8851,-0.00581569,78.5139,0,6.41
1i9l,-46.3825,-7.64081,-0.00247544,66.3061,3.5,8.48
1i9m,-52.049,-12.2039,-0.00414236,78.2646,3.5,8.48
1i9n,-48.9956,-9.36401,-0.0028821,72.1534,3.5,8.66
1i9o,-50.5195,-10.1691,-0.00320255,78.2583,3.5,8.42
1i9p,-52.1299,-8.97142,-0.00307352,77.3356,3.5,8.41
1i9q,-49.0249,-6.9633,-0.00244493,77.435,4.5,8.41
1ie9,-99.4859,-12.3787,0.00129527,36.4498,7.5,10.19
1if7,-57.3362,-7.98608,-0.00204872,70.8865,6.5,10.52
1if8,-53.6393,-7.02516,-0.00192138,66.3456,6.5,9.64
1igb,-61.5488,-29.8219,-0.0448379,84.5022,4.5,6.4
1igj,-74.812,-0.0958695,-0.000773551,66.5592,5,10
1ii5,-44.0133,-36.9096,-0.0606963,105.399,4.5,6.62
1iih,-44.1266,-30.3277,-0.0587118,108.795,4.5,2.89
1iiq,-144.344,-46.2656,-0.0706334,190.242,21.5,7.48
1ik4,-49.5496,-41.469,-0.0534729,102.548,3.5,7.41
1ikt,-77.6076,-6.12179,-0.00186357,39.9541,13,3.4
1ivp,-139.656,-29.377,0.00052488,170.215,21.5,7.52
1iy7,-59.714,-34.8714,-0.0429394,98.9771,5.5,6.19
1izh,-147.499,-47.1321,-0.00963946,167.43,20.5,7.7
1izi,-134.591,-40.741,-0.00842617,166.108,20.5,6.59
1j01,-67.4132,-29.8522,0.00357766,115.787,4,6.47
1j14,-46.4873,-18.879,-0.00391463,60.011,1.5,4.49
1j16,-45.7332,-14.7709,-0.00453199,58.8056,1.5,3.84
1j17,-106.465,-0.893229,-0.00127044,83.1847,4,5.22
1j36,-77.4298,-31.6811,-0.0324032,179.563,12.5,7.74
1j37,-46.1783,-13.7687,-0.0116056,80.105,3.5,8.96
1j4r,-93.4509,-8.12662,-0.0036878,78.9354,16,7.72
1jak,-65.6736,-27.5433,-0.0531808,124.271,3.5,5.57
1jao,-78.9179,-22.5113,-0.00551554,76.3736,8.5,5.92
1jaq,-64.4851,-16.6583,-0.00295842,101.705,8.5,4.48
1jcx,-77.169,-46.0835,-0.110294,250.125,14,5.15
1jet,-97.7542,-48.9765,-0.110966,209.54,14.5,7.25
1jeu,-104.894,-59.5606,-0.105863,236.687,17.5,6.82
1jev,-136.33,-63.3492,-0.117321,253.162,16.5,6.89
1jfh,-53.6809,-12.1508,0.000709994,106.917,9,2.05
1jgl,-63.6595,-10.4713,0.0102343,31.3949,1,8.7
1jlr,-74.7328,-29.1312,-0.11197,206.948,9.5,3.33
1jmf,-67.2777,-28.6598,-0.062348,144.511,4.5,5.77
