receptor,van_der_Waals,hydrogen_bonding,hydrophobic_contact,tors,exp_binding_affinity
1bv7,-1029.58,0.588903,136.576,13,10.3
1bv9,-1023.89,0.650614,119.19,13,9.96
1bwa,-1012.51,0.760795,104.718,13,8.6
1bwb,-1086.44,0.608831,121.188,13,8.42
1bxo,-759.936,0,89.0073,9,10
1bxq,-752.446,0.559365,88.3476,15,7.38
1bxr,-724.308,0.371682,0,9.5,3.4
1bzj,-450.086,0,97.5334,3,4.66
1bzy,-587.459,0,8.66805,5,8.34
1c1r,-434.132,0,8.85536,3.5,7.63
1c1u,-450.883,0,13.9204,3.5,8.25
1c1v,-470.694,0,14.5714,5.5,7.64
1c3e,-659.843,0.203101,60.2425,8.5,6.59
1c3x,-297.358,0,1.34662,0,3.68
1c4u,-664.914,0,58.0857,7.5,10.37
1c5c,-467.686,0,52.7471,3,6.96
1c5n,-317.377,0,4.61621,1.5,4.7
1c5o,-248.063,0,8.78186,1.5,3.49
1c5p,-266.187,0,7.48609,1.5,4.68
1c5q,-337.34,0,6.00571,1.5,6.36
1c5s,-321.092,0,8.5322,1.5,6
1c5t,-318.892,0,6.23519,1.5,4.1
1c5x,-359.398,0,9.301,1.5,6.68
1c5y,-335.33,0,5.77248,1.5,4.2
1c70,-910.275,0,112.774,12,10.3
1c83,-435.415,0,45.8108,3,4.85
1c84,-439.398,0,71.2872,3,5
1c86,-405.425,0.853154,25.0909,4.5,4.7
1c87,-401.503,0.246439,25.5307,3,4.2
1c88,-429.263,0.746312,27.0881,3,5.29
1cbx,-358.599,0.30163,43.3601,4,6.35
1ceb,-223.086,0.838156,43.2592,2.5,6
1cet,-295.794,0,52.7884,7,2.89
1cgl,-644.541,0,35.843,16,6.87
1ch8,-668.536,0,0,6.5,7
1ciz,-776.693,0,84.9201,7,7.44
1cnw,-372.607,0,26.1448,13,7.72
1cnx,-370.58,0,26.7238,11,7.37
1cny,-370.862,0,26.3148,15,7.85
1cps,-346.71,0,32.3815,5,6.66
1ct8,-607.995,0,76.8348,10.5,6.52
1ctt,-473.553,0,9.93117,3.5,4.52
1ctu,-494.529,0,7.73061,4,11.92
1d09,-407.136,0.411782,3.06384,5,7.57
1d2e,-571.443,0,0,7.5,6
1d3d,-686.472,0,83.2497,9.5,9.09
1d3p,-693.147,0,73.479,11.5,7.39
1d4h,-926.568,0,128.152,12.5,10
1d4i,-968.667,0,134.312,12.5,8.85
1d4j,-939.122,0,121.702,13.5,8.36
1d4k,-877.399,0.284068,112.694,11,9.22
1d4l,-771.204,0,84.445,9,8.77
1d4p,-565.356,0,65.2668,4.5,6.3
1d4y,-756.853,0,97.4136,10,11.1
1d6v,-566.451,0,132.512,7.5,6.17
1d6w,-687.403,0,59.8685,8.5,5.96
1d7i,-140.171,0,0,2,3.6
1d7j,-143.839,0,24.8198,2.5,3.3
1d9i,-567.328,0,52.163,7.5,9.11
1dar,-493.369,0,0,7.5,4.96
1det,-315.884,0,0,5.5,4.3
1df8,-450.898,0.794816,40.6407,5,9.7
1dfo,-635.245,0,56.841,9.5,6.7
1dgm,-323.059,0,0,4,5.05
1dhi,-510.673,0,42.1086,9,7.26
1dhj,-524.695,0.722761,45.5727,8.5,6.55
1dif,-983.866,0,128.937,16,10.66
1dl7,-402.511,0,15.6021,7,6.49
1dmp,-792.394,0.870943,116.479,10,9.55
1dqn,-445.379,1.81499,4.39976,5,8
1drj,-289.01,0,0,2,7.4
1drk,-290.269,0,0,2,6.82
1drv,-821.422,0.539294,26.4812,13.5,6.54
1dud,-402.45,0,11.0988,6.5,4.82
1duv,-466.585,0.205736,3.05461,9,11.8
1dy4,-481.824,0,74.4109,6.5,4.36
1dzk,-219.164,0,29.2391,3,6.1
1e1v,-409.523,0,17.9332,3.5,4.92
1e1x,-382.725,0,17.112,5,5.89
1e2k,-448.576,0,46.3162,3,4.94
1e2l,-431.21,0,42.8581,3,4.29
1e3g,-512.5,0,78.2068,0.5,9
1e3v,-359.31,0.97197,59.2576,5,4.34
1e4h,-237.857,0,41.719,0.5,8.41
1e5j,-548.345,1.47068,0,17.5,4
1e6q,-342.715,0.662874,0,3,3.15
1e6s,-321.827,0,0,4.5,3.22
1eb2,-611.542,0,53.9825,6.5,6.01
1ebw,-860.483,0,104.851,16,9.05
1ebz,-899.99,0,107.536,13.5,9.4
1ec0,-1017.66,0,131.068,13,8.49
1ec1,-970.418,0,102.984,16,8.92
1ec2,-956.165,0,104.97,16,10
1ec3,-940.286,0,96.9847,18,9.04
1ec9,-354.334,0,0,6.5,3.1
1ecq,-357.567,0.377299,1.51728,6.5,3
1ecv,-398.878,0,45.7044,3,4.85
1efy,-436.655,0,55.1065,3,8.22
1egh,-262.039,0,0,3,5.7
1ejn,-552.568,0,11.253,4,5.62
1ela,-541.219,0,59.3618,9.5,6.36
1elb,-520.935,0,49.6694,11.5,7.15
1elc,-708.376,0,55.4184,11.5,6.66
1eld,-512.419,0,71.4114,8,6.7
1ele,-519.061,0.0166786,47.1197,7,6.85
1elr,-504.798,1.06386,34.6213,17,4.96
1enu,-305.862,0,29.6895,0.5,5.08
1eoc,-298.257,0,23.8924,2,6.05
1epo,-772.985,0,74.3289,13,7.96
1erb,-523.142,0,101.573,8.5,8.1
1ew8,-171.408,0,0,2,2.26
1ew9,-113.426,0,0,1.5,3.22
1ex8,-881.927,0,0,14,6.33
1ez9,-586.51,0,0,20.5,5.1
1ezq,-728.282,0.682343,127.327,10,9.05
1f0r,-599.638,0,45.3129,5,7.66
1f0s,-574.784,0,42.6481,5,7.74
1f0t,-520.222,0,22.3781,7,6
1f0u,-614.869,0.398494,58.5456,10,7.16
1f3e,-319.887,0,21.1415,1,6.7
1f4e,-293.435,0,60.0285,3,2.96
1f4f,-477.188,0,59.5581,8,4.62
1f4g,-582.514,0,68.0074,11,6.48
1f4x,-380.945,0,7.48974,7.5,5.59
1f57,-140.725,0,0,3,5.64
1f5k,-261.669,0,5.04274,1.5,3.74
1f5l,-358.937,0,1.04281,2,5.28
1f73,-377.506,0,0.989857,11,2.39
1f74,-368.482,0,4.48434,10,3.05
1f8b,-364.15,0.908573,10.6757,7,5.4
1f8c,-356.728,1.48193,10.3571,7,7.4
1f8d,-369.371,0,10.3973,7,3.4
1f8e,-359.37,1.41078,10.3988,7,4.82
1fao,-387.505,1.01402,0,9,7.37
1fch,-664.738,0,39.9879,19,7.15
1fcx,-704.976,0,182.23,3.5,7.19
1fcy,-708.497,0,187.23,3,8.52
1fcz,-669.862,0,176.623,4,9.22
1fd0,-721.925,0,183.284,3.5,8.4
1fh7,-402.966,0.974679,0,4.5,5.24
1fh8,-370.455,0.375251,7.9357,4,6.89
1fh9,-444.355,0.896645,0,5,6.43
1fhd,-455.406,0.819506,0,4.5,6.82
1fiv,-1065.56,0,135.037,18,6.59
1fjs,-705.226,0,53.3496,10.5,9.96
1fkb,-638.929,0.680678,84.2251,7.5,9.7
1fkf,-691.981,0.982478,84.3908,8.5,9.4
1fkg,-486.388,0,83.6921,9,8
1fkh,-504.219,0,87.7957,9,8.15
1fki,-461.712,0,76.0013,0,7
1fkn,-915.63,0.439545,62.9814,25,8.8
1fkw,-442.042,0.944614,0,3.5,5.05
1fl3,-568.906,0,135.438,7,6.8
1flr,-589.55,0,98.4831,2.5,10
1fm9,-902.076,0,162.995,10,9
1fo0,-1335.88,0.378583,137.349,24,5.59
1fpc,-584.198,0,65.1603,9,7
1fq5,-922.669,0,109.146,9.5,8.4
1ft7,-239.527,0.403004,20.2404,3.5,5.18
1ftm,-373.652,0.722652,21.802,4,7.61
1fv0,-514.339,0.224578,29.1666,2.5,5.93
1fzj,-1017.04,0.816532,115.03,25.5,8.1
1fzk,-965.535,0.569027,117.886,21,8.4
1fzm,-1051.74,0.0664357,107.096,25.5,7.7
1fzo,-992.878,1.35744,128.448,21,7.89
1fzq,-516.556,0.474571,0,7,7.62
1g1d,-331.285,0,45.7771,4.5,9.44
1g2k,-858.552,0.739645,101.203,12,7.96
1g2l,-724.002,0,90.4545,12,7.24
1g2o,-508.212,0,2.88917,3.5,10.55
1g30,-683.213,0,72.4148,12.5,6.85
1g32,-658.355,0,66.2874,6.5,6.11
1g35,-863.695,1.04188,91.9454,13,8.14
1g36,-559.824,0,43.3214,6.5,7.17
1g3d,-348.034,0,8.10737,5,5.55
1g3e,-352.273,0,8.46863,5,5.38
1g45,-312.304,0,40.5327,4.5,8.64
1g46,-320.526,0,42.2622,4.5,8.8
1g48,-319.136,0,38.4274,4.5,8.41
1g4j,-317.591,0,30.7167,4.5,8.7
1g4o,-297.926,0,41.1825,3.5,8.25
1g52,-338.91,0,47.6125,4.5,9.54
1g53,-341.36,0,43.7731,3.5,9.04
1g54,-362.967,0,41.3516,4.5,8.82
1g74,-426.658,0,86.8152,15,6.52
1g7f,-544.207,0.328334,50.9537,13,5.47
1g7g,-641.295,0.0217733,71.2497,17,6.6
1g7q,-809.537,1.2559,31.9946,19.5,6.06
1g7v,-401.05,0.222398,0,13,6.4
1g85,-225.496,0,57.5788,5.5,5.48
1g98,-351.882,0.0766987,0,7.5,5.7
1g9r,-886.836,1,6.60675,11.5,5.7
1gaf,-469.313,0,49.2276,8,8
1gai,-707.327,0,20.7088,15.5,8
1gar,-796.458,1.59051,27.9366,21,10
1gcz,-437.844,0.883126,64.0724,3.5,5.13
1gfy,-423.938,0.697662,24.3633,3,5.08
1ghv,-397.876,0,16.2326,1.5,4.35
1ghw,-385.595,0,24.7567,2,4.2
1ghy,-460.12,0.0332804,22.0035,2,8.1
1ghz,-379.882,0.334036,8.69912,1.5,4.8
1gi1,-378.581,0,11.7814,2,5.47
1gi4,-399.771,0,10.995,3.5,7.19
1gi7,-393.115,0,9.54423,1.5,4.51
1gj6,-552.22,0,24.2397,4,7
1gj7,-540.071,1,21.0834,4,7.89
1gj8,-461.326,0,14.8082,5,6.96
1gja,-441.574,0,10.086,4,5.42
1gjc,-485.946,0,15.1378,2,6.35
1gjd,-498.791,0,13.6891,4,5.22
1gnm,-688.819,0,56.2613,15.5,6.25
1gnn,-686.125,0,55.8681,15.5,5.68
1gno,-654.42,0,58.6799,15.5,7.7
1grp,-234.436,0,5.903,4.5,3.72
1gu1,-335.945,0.803029,9.77695,2.5,4.52
1gvw,-733.31,0.480854,71.7346,16,6.96
1gvx,-943.12,0.674187,92.9694,23.5,7.22
1gwv,-353.434,0.523398,0,8,2.57
1gx8,-348.075,0,94.3575,5.5,6.37
1gyx,-223.122,0,48.8521,1,2.48
1gyy,-283.912,0.614413,53.5666,2.5,3.64
1gz4,-613.185,0,0,9,3.7
1h0a,-304.214,1.4283,0,7.5,5.44
1h1d,-365.717,0,24.3777,8,8.22
1h1s,-573.391,0,31.4308,5.5,8.22
1h2k,-247.752,0,0,3,2.92
1h2t,-835.174,2.454,0,15,7.89
1h46,-428.145,0,57.6632,5.5,3.57
1h4w,-278.341,0,7.39727,1.5,4.66
1h5v,-650.06,0.558237,0,22,3.93
1h6h,-378.792,0,0.340106,17,5.3
1hbv,-723.627,0,77.3555,12.5,6.37
1hdq,-282.043,0,33.5786,3.5,5.82
1hee,-361.224,0,32.3334,3.5,5.34
1hfs,-1090.31,0.837382,178.899,15,8.7
1hi3,-286.951,0,0,7,4.19
1hi4,-417.655,0.602485,0,6.5,4.49
1hi5,-343.08,0,0,7.5,4.04
1hih,-742.355,0,89.4468,11.5,8.05
1hii,-763.377,0,102.697,11.5,7.28
1hk4,-429.98,0,50.0367,6,5.31
1hlk,-367.594,0,19.677,3,5
1hmr,-389.022,0,81.9074,16,6.55
1hms,-382.949,0,83.277,15,6.37
1hmt,-394.219,0,86.2259,16,5.79
1hn4,-794.966,0,114.585,23,3.82
1hnn,-370.545,0,53.3054,1.5,6.24
1hos,-834.133,0,110.09,16,8.55
1hp5,-395.413,0,16.767,2.5,6.55
1hpo,-617.866,0,64.5555,5.5,9.22
1hps,-823.138,0,98.2152,14.5,9.22
1hpv,-681.535,0,68.2749,11,9.22
1hpx,-759.657,0,59.9821,12.5,11.26
1hsh,-831.11,0.315138,105.015,12,9.42
1hsl,-308.234,1,3.91624,3.5,7.19
1hvh,-727.627,0,89.5353,13,7.96
1hvi,-928.389,0,107.435,16,10.92
1hvj,-908.379,0,108.834,15.5,11.4
1hvk,-968.765,0,119.878,16,10.96
1hvl,-929.071,0,109.504,16,9.95
1hvr,-893.5,0.476981,158.627,9,9.51
1hvs,-907.503,0,100.448,16,10.3
1hwr,-566.912,0.441392,76.477,9,8.33
1hxb,-858.704,0,103.532,11.5,9.92
1hxw,-859.935,0,87.7159,15.5,10.82
1hyo,-301.903,1,7.43598,4,4.07
1i00,-368.018,0,45.0881,8,6.34
1i1e,-574.114,0,40.6501,9.5,5.03
1i2s,-235.166,0.72479,4.67809,4.5,3.31
1i37,-495.995,0,74.7937,0.5,9.57
1i5r,-1102.28,0.929008,141.881,15.5,8.52
1i7z,-534.88,0,57.6839,5,6.4
1i80,-285.391,0,2.8024,0,6.41
1i9l,-301.878,0,40.0172,3.5,8.48
1i9m,-316.282,0,36.9988,3.5,8.48
1i9n,-318.47,0,41.429,3.5,8.66
1i9o,-335.604,0,41.1674,3.5,8.42
1i9p,-340.118,0,41.8996,3.5,8.41
1i9q,-323.687,0,37.1471,4.5,8.41
1ie9,-664.767,0.815018,139.277,7.5,10.19
1if7,-374.417,0,44.2583,6.5,10.52
1if8,-347.923,0,45.4592,6.5,9.64
1igb,-348.299,0,59.5056,4.5,6.4
1igj,-501.611,0,81.8139,5,10
1ii5,-265.055,2.05165,12.4387,4.5,6.62
1iih,-281.352,0,0,4.5,2.89
1iiq,-935.111,0.732866,109.621,17.5,7.48
1ik4,-276.963,0,0,3.5,7.41
1ikt,-524.417,0.341292,75.2022,13,3.4
1ivp,-895.454,0,99.0058,17.5,7.52
1iy7,-372.815,0.834661,34.9493,4.5,6.19
1izh,-952.079,0,114.901,16.5,7.7
1izi,-889.74,0,83.9807,16.5,6.59
1j01,-399.874,0.403408,7.97274,4,6.47
1j14,-280.041,0,9.39376,1.5,4.49
1j16,-277.252,0,11.5436,1.5,3.84
1j17,-671.693,0,53.5395,4,5.22
1j36,-510.043,0.363243,30.122,10.5,7.74
1j37,-291.562,0,16.2604,3.5,8.96
1j4r,-623.983,0,100.301,15,7.72
1jak,-395.258,0.577893,24.8193,3.5,5.57
1jao,-501.035,0,37.3124,7.5,5.92
1jaq,-415.23,0,16.3972,7.5,4.48
1jcx,-484.167,0.814536,0,13,5.15
1jet,-599.698,0.267649,28.7595,13.5,7.25
1jeu,-659.722,0,34.3254,15.5,6.82
1jev,-841.232,0,62.9394,14.5,6.89
1jfh,-361.968,0,0,9,2.05
1jgl,-475.111,0,132.79,1,8.7
1jlr,-459.496,0.149746,0,9.5,3.33
1jmf,-408.723,0.0282319,0.93472,4.5,5.77
1jmg,-409.913,0,1.09829,4.5,6.07
1jn4,-679.973,0.193699,5.4357,11.5,4.95
1jq8,-717.566,1.69218,75.7021,14.5,6
1jqy,-493.548,0,8.56162,11,4.92
1jsv,-353.999,0,26.8023,4,5.7
1jvu,-389.497,1.08258,4.05929,5.5,5.15
1jyq,-710.788,1.16745,73.0927,17,8.7
1jys,-242.638,0,0,0.5,3.52
1jzs,-589.268,0,35.0335,18.5,6.6
1k1j,-591.78,0,40.6755,8.5,7.55
1k1l,-557.15,0,37.7094,6.5,6.9
1k1m,-575.165,0,33.6591,6.5,7.4
1k1n,-559.61,0,22.6057,10.5,6.82
1k1o,-527.828,0,40.4531,10,6.17
1k1y,-700.26,0,9.31023,15.5,3.22
1k21,-580.514,1,67.0169,10,8.38
1k22,-642.881,0.963089,61.6646,9,8.4
1k27,-536.439,0,3.4051,4.5,9
1k4g,-411.698,0,20.2399,4,5.85
1k4h,-390.532,0,27.5439,5,5.11
1k6c,-815.578,0,90.8238,12,7.48
1k6p,-858.245,0,90.9417,12,7.36
1k6t,-827.762,0,92.7461,12,7.62
1k6v,-864.109,0,91.8543,12.5,6.92
1k9s,-498.428,0,0,4,6.52
1kav,-451.067,0,98.3005,7,5.82
1kc7,-203.473,0,0,2.5,5.52
1kdk,-485.845,0,78.2187,0.5,9.05
1kel,-480.099,0,70.7359,9,7.28
1kjr,-444.144,0.660192,4.74238,12.5,6.06
1km3,-371.745,0,0,5,4.91
1kmy,-348.114,0,45.1894,2,5.1
1koj,-385.154,0,0,8,6.7
1kpm,-573.418,0,101.032,7.5,5.8
1ksn,-729.467,0,87.8278,9,9.4
1kug,-595.606,0,47.9514,7,3.8
1kui,-602.287,0.0693362,47.5334,8,3.77
1kuk,-612.339,0.854611,51.3959,9.5,3.91
1kv1,-443.589,0,64.6429,2,5.94
1kv5,-237.504,0,0,3,4.22
1kyv,-603.001,0.534182,16.9303,7,5.92
1kzk,-839.52,0,108.01,9.5,10.39
1kzn,-644.233,0,59.2833,11.5,8.92
1l6m,-160.078,0,14.3251,2,8.1
1l83,-176.441,0,63.726,0,3.4
1l8g,-579.756,0.796496,30.094,6,6.22
1laf,-373.478,0.908395,15.4991,5.5,7.85
1lag,-326.763,0.850511,3.63761,3.5,6.3
1lah,-276.093,0.846194,15.5229,5,7.52
1lan,-205.966,0.754817,2.49456,4.5,7.22
1lbf,-510.681,2.01154,43.2814,10.5,7.85
1lbk,-362.581,0.158644,2.83395,9,3.18
1lcp,-219.641,0.318647,1.9063,3.5,6.64
1lee,-700.643,0,113.725,12,7.74
1lf2,-683.245,0,106.636,12,7.52
1lgt,-369.581,0,47.4314,2,6.1
1lgw,-216.438,0,52.0143,0.5,4
1lhu,-466.104,0,89.7227,1,8.83
1li2,-199.934,0,55.0168,0.5,4.04
1li3,-213.54,0,54.7833,0.5,4.25
1li6,-168.712,0,30.5031,0,3.8
1lke,-588.522,0,93.0103,2.5,7.52
1lkk,-567.25,0,43.2311,16,6.85
1lkl,-523.604,0,29.2643,15,5.81
1lnm,-576.218,0,103.361,2,8.7
1lol,-386.706,1.4003,0,5,6.39
1loq,-395.789,0,6.47616,5,3.7
1lpk,-693.776,0,77.3947,9.5,7.55
1lpz,-673.264,0,77.6071,6.5,7.6
1lrh,-327.37,0,77.5662,2,6.82
1lst,-303.779,0.944465,26.9322,6,7.85
1lvu,-479.633,0,7.54173,5,5.32
1lyb,-726.459,0.209603,68.5083,19,11.42
1lyx,-225.785,0,0,3,4.54
1lzq,-890.981,0.685168,94.1051,17,8.39
1m0b,-898.082,0.663187,101.224,17,8.82
1m0n,-618.915,1,34.384,6.5,2.22
1m0o,-579.313,1.57341,28.5069,7.5,2.31
1m0q,-559.594,0.966544,16.0193,6.5,3.89
1m1b,-255.587,0.468128,0,3,4.66
1m2p,-427.163,0.670571,68.2783,2,6.11
1m2q,-444.657,0.611018,53.7929,2,6.1
1m2r,-459.093,0,65.6936,2,6.46
1m2x,-264.379,0,15.3268,3.5,4.15
1m48,-509.968,0.958217,86.6506,9,5.09
1m4h,-1022.87,0.0289408,100.677,26,9.52
1m5w,-295.755,0,3.38845,6,4.27
1m7d,-586.216,0,14.2759,10,6.23
1m7i,-754.524,0,15.4272,16.5,5.4
1m7y,-615.56,0,28.8461,11,10.96
1m83,-695.619,0.262484,0,9,3.4
1mai,-302,1.27379,0,7.5,6.68
1mes,-790.059,0.700581,112.601,12,7.7
1met,-805.122,0.20998,134,12,9.4
1mfa,-420.505,0,23.5879,11,5.04
1mfd,-448.163,0,23.1659,11,5.31
1mfi,-359.692,0.700058,63.6089,2.5,5.59
1mh5,-648.383,0,111.924,13,9.21
1mjj,-630.456,0,101.474,13,8.74
1mmq,-504.79,0.837335,31.2238,5.5,7.52
1mmr,-523.942,0.980419,31.2399,6,5.4
1moq,-383.269,1.00124,0,5,3.46
1mq5,-739.159,0,39.9851,6,9
1mrn,-902.452,0,24.3222,17.5,4.52
1mrs,-535.426,0,15.8365,6.5,3.96
1mrw,-767.115,0,80.8407,8,9.7
1mrx,-767.191,0,93.5934,8,7.26
1msm,-876.706,0,114.807,9,10.48
1msn,-850.245,0,117.53,9,9.09
1mtr,-789.219,0,101.359,10.5,8.4
1mu6,-592.864,0,51.1435,8,8.38
1mu8,-629.185,0,58.1242,8,9
1mue,-608.32,0,59.7484,8.5,8.64
1my4,-421.47,0,6.69524,3.5,6.98
1n0s,-497.997,0.831966,83.1852,2.5,7.45
1n1m,-280.5,0,33.5899,4,5.7
1n3i,-489.098,0,9.17795,4,8.89
1n3z,-311.245,0.108696,2.63538,5,4.2
1n46,-671.436,0,96.8629,4.5,10.52
1n4h,-476.528,0.0463634,90.6373,5,6.55
1n4k,-309.119,0,0,7.5,10.05
1n51,-662.654,0.910715,46.858,9,4.85
1n5r,-381.939,0,61.8948,7,5.66
1n8v,-288.802,0,95.8263,11,6.03
1ndv,-506.853,0,40.3249,4,5.92
1ndw,-391.64,0,63.6761,5.5,5.23
1ndy,-471.538,0,61.3603,5.5,6.17
1ndz,-732.279,0,58.4336,9.5,8.11
1nf8,-439.439,0.780754,59.0042,4.5,7.82
1nfu,-624.428,0,61.6373,5.5,7.74
1nfw,-613.129,0,46.2804,5,8.96
1nfx,-664.164,0,46.6673,6.5,8.52
1nfy,-647.717,0,60.6512,5.5,8.89
1nh0,-958.23,0.888166,112.803,18.5,9.74
1nhu,-379.037,0,63.4216,7,5.66
1nhz,-627.056,0,85.4327,4.5,6.08
1nja,-401.078,0.602065,2.16865,5,6.31
1njc,-408.394,0.640368,1.11557,5,5.55
1njd,-416.454,0,1.05479,4.5,5.57
1nje,-399.161,0,1.50003,5,3.8
1njs,-703.292,0,39.6903,13.5,7.82
1nki,-166.118,0,0,1,6.7
1nl9,-551.842,0,61.3969,11,5.96
1nli,-276.835,0,0,0.5,3.59
1nm6,-680.679,0,65.3496,2,10.05
1nny,-783.777,0,76.2222,15,7.66
1no6,-422.766,0,54.3565,4,4.41
1np0,-351.995,0,16.5604,2.5,3.57
1nq7,-522.632,0.361961,107.965,6,6.8
1nt1,-666.575,0,70.9331,1,8.89
1nu3,-210.046,0,54.1735,4,4
1nvr,-635.678,0,82.6381,4,8.11
1nvs,-551.645,0,75.2958,2,7.82
1nw4,-473.022,0,2.01793,3.5,9.07
1nw5,-619.841,0,1.52684,9,5.21
1nw7,-493.994,0.621497,1.57322,9,5.09
1nwl,-364.317,0,22.7324,11,2.39
1nz7,-681.284,0.169073,62.032,17.5,7.12
1o0f,-363.835,0.81162,0,7,5.3
1o0m,-375.829,0.124331,3.26111,5,5.15
1o0n,-335.974,0.175683,3.29751,5,4.09
1o1s,-622.487,0.821254,72.4176,14,7.31
1o2h,-485.687,1,23.6145,5,7.17
1o2j,-437.675,0,17.1224,5,6.92
1o2n,-529.656,0,24.6222,2,6.09
1o2o,-508.684,0,17.3735,5,6.36
1o2q,-544.858,1,24.7119,5,7.68
1o2r,-556.536,0.279354,21.6,4,5.21
1o2w,-421.401,0,13.8726,5,5.85
1o2z,-525.01,0,20.4106,6,6.11
1o30,-533.945,0,21.3961,5,6.77
1o33,-391.703,0,6.56652,2,5.74
1o35,-385.153,0,12.3508,2,5
1o36,-532.068,0,20.3611,6,5.96
1o38,-496.547,0,19.4902,4.5,6.82
1o3d,-499.151,0,17.6879,2,7.13
